留言编号,答复意见,first,end,f_first,f_end,f_complete,可解释性词
6052,网友“UU0081999”您好！您的留言已收悉。现将有关情况回复如下：一、关于对公交ic卡公司的投诉。1、目前与ic卡中心合作提供充值服务的有2家银行，分别是A市银行和中国建设银行。中国建设银行网点充值机可选择现金充值和银行卡充值方式，建设银行未取消现金充值的业务，也不会取消该业务。A市银行网点充值机因设置在24小时atm柜员机专属区域，没有专人现场值守，故不能提供现金充值服务，但其银行内的人工窗口可提供现金充值。市民需使用现金充值时可选择在建行各网点充值，或者A市银行柜台充值。2、5月初ic卡客服中心服务电话0000-00000000因线路故障原因，存在已接听电话却听不到对方声音的情况，现已全面检修可正常使用。该服务电话人工接听时间为上午8点至12点，下午2点至5点30分，其他时间为语音自动转接。二、关于对12345热线未受理事项的投诉。关于您对12345热线无正当理由不受理对公交ic卡公司公用事业服务的投诉，经听取录音，调查结果如下：（一）来电情况您来电投诉建设银行A市A5区支行，不能使用现金充值，需先办理建设卡方可充值的事项。根据12345信息库“建设银行内充值公交卡的机器属于银行内部维护还是属于A市交通投资控股集团有限公司管理？”为指引，故话务员未受理充值机问题，话务员向其解释涉及银行的问题我中心无法受理，但可受理请相关部门解决公交ic卡充值机不能使用现金的问题，并按12345信息库“市民公交ic卡充值方式”向您解释，现A市ic卡充值点很多，可去其他充值点进行充值，但您不认可，表示因为使用的是公交卡，那ic卡充值中心就要进行处理。（二）话务员存在问题及处理方案因话务员解释安抚不灵活，业务知识不扎实，关于市民投诉事项是否受理的相关语言表述不当，处理措施如下：1、问题录音纳入质检考核扣分；2、以此为案例，展开提升培训，以提升话务员的灵活处理技巧。感谢您对我们工作的支持、理解与监督！2018年5月21日,网友“UU0081999”您好 您的留言已收悉,以提升话务员的灵活处理技巧 感谢您对我们工作的支持 理解与监督 2018年5月21日,完整,完整,已解决,"['目前', '故', '但', '因', '原因', '为', '其他', '为', '根据', '还是', '为', '故', '解释', '但', '按', '解释', '其他', '但', '表示', '因为', '方案', '因', '解释', '为']"
6058,网友“UU0082435”您好！您的留言已收悉。现将有关情况回复如下：近期，A市A1区实业公司向市城乡规划局提出乾城嘉园二期总平面图变更的申请，其申请内容未涉及北部已建区域的调整，在其申报的规划总平面图中北部已建区域与拟变更区域之间未布置围墙，临南向城市道路设置了出入口。市城乡规划局对其方案进行了技术审查，已对“A1区实业”提出要求：拟变更部分的交通不应与北部已建的脱节，地面、地库交通应与北部已建的相衔接进行整体考虑；停车位需落实规定；绿地率、配套设施需符合控规及相关规定。市城乡规划局在总图变更审批前，按相关规定须将总图变更情况在项目现场及网络进行批前公示，为便于业主了解变更情况，市城乡规划局会在项目现场及网络公示的同时在社区增加公示点，敬请您及时关注。感谢您对我们工作的支持、理解与监督！2018年6月20日,网友“UU0082435”您好 您的留言已收悉,敬请您及时关注 感谢您对我们工作的支持 理解与监督 2018年6月20日,完整,完整,已解决,"['规划', '方案', '审查', '要求', '规定', '符合', '规定', '审批', '按', '规定', '公示', '为', '了解', '公示', '同时', '公示']"
6060,网友“UU0081298”您好！您的留言已收悉。现将有关情况回复如下：A市不动产登记中心已于2018年5月15日下午电话联系您，了解情况并进行了有效沟通。抵押登记业务已办理至发证阶段，待抵押权人领证后即可办结。建议您联系开发公司或者贷款银行沟通领证事宜。感谢您对我们工作的支持、理解与监督！2018年5月15日,网友“UU0081298”您好 您的留言已收悉,建议您联系开发公司或者贷款银行沟通领证事宜 感谢您对我们工作的支持 理解与监督 2018年5月15日,完整,完整,已解决,['了解']
6077,网友“UU0081840”您好！您的留言已收悉。现将有关情况回复如下：据查，该小区部分业主对业委会公布的第一轮投票结果存有异议，已委托律师向A2区人民法院提起诉讼。区法院已经受理《A市A2区人民法院受理案件通知书（2018楚0103民初1057号），并于4月11日、24日两次开庭审理，由于目前尚未公布判决结果，辖区文源街道认为现阶段不宜组织科万物业公司进驻并办理相关交接手续。目前，文源街道正在就相关事宜与小区业委会、彩虹物业公司进行进一步协调。感谢您对我们工作的支持、理解与监督！2018年5月16日,网友“UU0081840”您好 您的留言已收悉,彩虹物业公司进行进一步协调 感谢您对我们工作的支持 理解与监督 2018年5月16日,完整,完整,已解决,"['据查', '结果', '由于', '目前', '结果', '认为', '目前', '进一步']"
6090,网友“UU0082069”您好！您的留言已收悉。现将有关情况回复如下：经查，您反映的收费是根据国家发改委文件执行的，收费主体为国家税务总局确定的两个服务商（百旺金赋和航天信息），国税局不是收费主体，收费依据及标准主要涉及以下两个文件：《国家发展改革委关于完善增值税税控系统有关收费政策的通知》（发改价格[2012]2155号）和《国家发展改革委关于降低增值税税控系统产品及维护服务价格等有关问题的通知》（发改价格〔2017〕1243号），该文件均可通过国家发改委网站查阅。同时，根据文件说明，缴纳的税控设备费用及服务年费可抵缴税款，相当于您购买的税控设备及服务费用由国家承担。您可以与服务商联系，由他们提供相应费用的发票，并向A4区国家税务局申请抵缴税款。如果您还有业务上的问题，可以向A4区国家税务局咨询，咨询电话：0731-0000-00000000。感谢您对我们工作的支持、理解与监督！2018年5月14日,网友“UU0082069”您好 您的留言已收悉,00000000 感谢您对我们工作的支持 理解与监督 2018年5月14日,完整,完整,已解决,"['经查', '根据', '为', '不是', '依据', '主要', '政策', '通知', '通知', '通过', '同时', '根据', '说明', '如果', '还有']"
6098,网友“UU0081502”您好！您的留言已收悉。现将有关情况回复如下：为彻底杜绝非法中介，所有业务都必须车主本人来办理或是车主的直系亲属来办理，个人因特殊原因委托亲戚朋友办理业务，需持双方身份证原件、委托书及相关资料，由监管民警核查双方身份信息无误后签字盖章登记后进行办理。感谢您对我们工作的支持、理解与监督！2018年5月10日,网友“UU0081502”您好 您的留言已收悉,由监管民警核查双方身份信息无误后签字盖章登记后进行办理 感谢您对我们工作的支持 理解与监督 2018年5月10日,完整,完整,已解决,"['为', '必须', '或是', '因', '原因', '核查']"
6113,网友“UU0081684”您好！您的留言已收悉。现将有关情况回复如下：一、关于诚天物业是否具备经营和服务资质的问题。西地省诚天物业管理有限公司成立于2001年5月23日，营业执照有效期至2031年5月22日，物业收费标准已在物价局备案，收费标准：住房0.7元/月/平方、商用1.4元/月/平方、门面4.5元/月/平方。高桥家电城是开放式商住一体的市场，不是一般性住宅小区，无法进行封闭管理。楼上存在的家菜馆、企业和个体工商户都在工商部门进行了住改商的登记，物业公司也定期按消防安全管理要求进行了巡查。二、关于井盖产生噪声、发生火情的问题。高桥家电城市场人流、车流、物流高度聚集，对井盖磨损很大，物业公司通过不定期的使用水泥加固边框或加垫橡胶等方式进行了维护和维修。高桥街道、高桥大市场社区已要求物业公司加强日常巡查力度，发现破损井盖及时处理。经查，2018年4月4日高桥家电城2栋404房发生一起火情，起火原因是：住户在阳台点香，未插牢，掉落后引燃杂物，发生火情。4月26日，针对市场消防安全与安全生产问题，区安监局、高桥街道、高桥大市场社区组织高桥家电城业主、商户236人，在天恒大酒店五楼会议室召开市场消防安全知识专题讲座。街道相关部门与社区安全生产专干、物业专干每周会定期对市场物业消防和安全生产情况进行检查。三、关于业委会与物业公司服务合同签订的问题。高桥家电城现无业主委员会，西地省诚天物业管理有限公司是2010年12月由西地省高桥大市场发展有限公司（开发商）通过公开招标的方式选聘的前期物业。现高桥家电城部分业主有成立业委会的意愿，街道和社区对此全力支持，现阶段正在与热心业主就业委会成立程序和资料的准备进行指导与沟通。四、关于对高桥家电城市场设置卡口安保亭、24小时值守、安装公共监控系统及重新招标物业公司的问题。为进一步规范家电百货城内车辆管理，改善市场内交通微循环，保障消防通道畅通，促进家电百货城的发展，借鉴周边市场经验，街道、社区拟在家电百货城安装停车道闸系统和卡口安保亭。2018年3月22日，街道和社区组织了38名业主、商户代表在社区党员服务中心会议室召开“高桥家电百货城业主、商户会”，对安装停车道闸系统和卡口安保亭等事宜进行讨论，共同研究可行性解决方案。同时，社区将于近期组织第三方以问卷调查的形式对家电城的业主、商户就上述及其关心的热点问题进行入户调查，若调查结果为大多数人同意安装停车道闸系统和卡口安保亭，街道、社区将迅速组织物业公司、业主、商户代表就停车道闸系统和卡口安保亭如何安装以及具体实施等问题进行会商。公共监控系统开发商未前期安装，根据《西地省住房和城乡建设厅西地省财政厅关于印发<西地省物业专项维修资金管理暂行办法>的通知》规定：通过物业公司申报维修资金并由大部分业主同意或由受益业主共同筹措后方进行公共监控系统安装。对于物业公司的重新审视或重新招标将在业委会成立后，由业委会召开全体业主大会表决决定。感谢您对我们工作的支持、理解与监督！2018年5月14日,网友“UU0081684”您好 您的留言已收悉,由业委会召开全体业主大会表决决定 感谢您对我们工作的支持 理解与监督 2018年5月14日,完整,完整,已解决,"['不是', '按', '要求', '巡查', '通过', '要求', '巡查', '经查', '原因', '针对', '通过', '对此', '为', '进一步', '促进', '研究', '同时', '调查', '若', '为', '根据', '通知', '规定', '通过']"
6143,网友“UU0081288”您好！您的留言已收悉。现将有关情况回复如下：16周岁以上外省户口申请人，符合以下情形，持本人有效身份证及以下资料可以办理：（一）持有效A市居住证可以办理港澳证（包括个人游签注）和护照。（二）未持有A市居住证人员，须符合如下情形，可以办理港澳证（不包括个人游签注）和护照，并提交如下资料：A市户籍居民的配偶、子女、父母，提交A市居民的身份证及双方亲属关系证明（即配偶关系交验结婚证、子女关系交验出生证明、父母关系提交其本市户籍子女出具的书面说明）。（三）符合以下情形也可以办理护照：1、A市就业人员及其配偶、未满十六周岁的子女，提交就业人员在A市社保部门连续一年以上缴纳社会保险证明，其配偶和子女还需提交双方亲属关系证明、居住6个月（含）以上的居住证明。2、A市大专以上高等院校就读学生及其配偶、未满十六周岁的子女，提交就读学生学生证或学校保卫部门出具的在读证明，其配偶和子女还需提交双方亲属关系证明、居住6个月（含）以上的居住证明。3、60周岁（含）以上人员，还需提交A市居住6个月（含）以上的居住证明。4、申请换发、补发护照人员，还需提交A市居住6个月（含）以上的居住证明及原护照。（四）登记备案的国家工作人员的申请，由其户籍所在地受理机构受理。现役军人的申请由其所属部队驻地的受理机构受理。如您还有疑问，可拨打A市公安局人口与出入境管理支队咨询电话：0731-0000-00000000感谢您对我们工作的支持、理解与监督！2018年5月3日,网友“UU0081288”您好 您的留言已收悉,0000 00000000感谢您对我们工作的支持 理解与监督 2018年5月3日,完整,完整,已解决,"['符合', '包括', '符合', '包括', '证明', '即', '说明', '符合', '证明', '证明', '证明', '证明', '证明', '证明', '证明', '证明', '如', '还有']"
6154,网友“UU008707”您好！您的留言已收悉。现将有关情况回复如下：目前，市规划局正在编制《A市轨道交通线网规划修编规划》，对于您的意见和建议，将充分论证研究。感谢您对我们工作的支持、理解与监督！2018年5月14日,网友“UU008707”您好 您的留言已收悉,将充分论证研究 感谢您对我们工作的支持 理解与监督 2018年5月14日,完整,完整,已解决,"['目前', '规划', '规划', '论证', '研究']"
6174,网友“UU0081797”您好！您的留言已收悉。现将有关情况回复如下：接到您的建议后，市交通运输局与128路公交车所属的西地省巴士负责人联系。对此，西地省巴士表示目前A市公交驾驶员缺口较大，继续延时将增加驾驶员劳动强度，影响行车安全，下一步将会根据客流调查结合实际情况考虑您的建议。感谢您对我们工作的支持、理解与监督！2018年5月3日,网友“UU0081797”您好 您的留言已收悉,下一步将会根据客流调查结合实际情况考虑您的建议 感谢您对我们工作的支持 理解与监督 2018年5月3日,完整,完整,已解决,"['对此', '表示', '目前', '根据', '调查']"
6203,网友“UU0082023”您好！您的留言已收悉。现将有关情况回复如下：据查，麓山润城小区是隶属锦绣社区，锦绣社区成立于2016年8月，是一个新型城市型社区，管辖四个楼盘，其中麓山润城为11年的老旧楼盘，基础差、底子薄、物业公司管理不到位，外围已严重破损，导致整个小区脏、乱、差，居民意见特别大。在此情况下，麓山润城业委会筹备组及业委会、楼栋长等热心群众多次向社区反映希望对其外围进行修缮，后业委会又书面提交“关于申请麓山润城外围前坪提质改造的报告”。适逢社区提质提档，社区书面向高新区申请对麓山润城外围进行改造获批，改造后的路面为彩色防滑地平压膜，改造经费全部由高新区专项拨款，改造阶段进行了公示、社区组织召开了业委会、楼栋长专题会议进行部署，并且现场铺排了大量的志愿者，走正规的招投标程序公开、公平、公正完成，无违规现象。整改后，由业委会组织业主验收。麓山润城业委会选举历时7个月时间，每个程序全部公开透明，每个阶段都在街道物管办、麓泉社区监督指导下开展，确保依法依规。感谢您对我们工作的支持、理解与监督！2018年5月4日,网友“UU0082023”您好 您的留言已收悉,确保依法依规 感谢您对我们工作的支持 理解与监督 2018年5月4日,完整,完整,已解决,"['据查', '其中', '为', '导致', '此', '为', '公示', '部署', '并且', '确保', '依法', '依规']"
6214,网友“UU008854”您好！您的留言已收悉。现将有关情况回复如下：根据您反映的问题，A市公安局A4区分局已指令经侦大队受案调查，如有任何进展将及时与您联系。感谢您对我们工作的支持、理解与监督！2018年5月7日,网友“UU008854”您好 您的留言已收悉,如有任何进展将及时与您联系 感谢您对我们工作的支持 理解与监督 2018年5月7日,完整,完整,已解决,"['根据', '调查', '如']"
6234,网友“UU0081275”您好！您的留言已收悉。现将有关情况回复如下：经核实，目前海林地产正积极处理相关验收和产权办理工作，已经办理了项目一期1、2、3、4、7号栋的房屋产权证，其中5、6栋为房产办证处遗项目，市处遗办已发交办函，但受办理不动产登记政策的影响需先补缴土地价款，修改土地出让合同方可办理不动产权证，海林地产正与楚江新区国土规划局衔接修改土地出让合同的事宜。二期的8号栋也已完成了竣工测量报告、产权丘图、人防验收等。下一步，A3区住建局将继续督促海林地产加快完成不动产权证的办理，保障业主基本权益。感谢您对我们工作的支持、理解与监督！2018年5月2日,网友“UU0081275”您好 您的留言已收悉,保障业主基本权益 感谢您对我们工作的支持 理解与监督 2018年5月2日,完整,完整,已解决,"['核实', '目前', '其中', '为', '但', '政策']"
6246,网友“UU008367”您好！您的留言已收悉。现将有关情况回复如下：据查，烈士塔周边大大小小的锻炼队伍多达30来支，人数超过4000人。目前，公园联合共建共管委员会已对烈士塔吊唁广场的锻炼队伍劝退离场，这些队伍在公园其它地方寻找锻炼场地过程中，难免有一些锻炼队伍不理解、不支持，并且可能相互之间为了锻炼场地而争吵。下一步，公园会继续联合共建共管委员会进行劝导解释、加大日常管理巡查力度等多种方式相结合，逐步将烈士塔保护范围内的锻炼队伍劝退离场。同时，也呼吁来烈士公园锻炼的队伍能够相互理解、相互支持，共同营造平安祥和的游园环境。感谢您对我们工作的支持、理解与监督！2018年4月23日,网友“UU008367”您好 您的留言已收悉,共同营造平安祥和的游园环境 感谢您对我们工作的支持 理解与监督 2018年4月23日,完整,完整,已解决,"['据查', '目前', '并且', '可能', '为了', '而', '解释', '巡查', '同时']"
6256,网友“UU008139”您好！您的留言已收悉。现将有关情况回复如下：根据《西地省财政厅关于认真做好宣传贯彻新<会计法>有关工作的通知》楚财会[2017]8号文件精神，现在会计从业资格证已取消，并且相关业务于2018年3月31日停止办理，现在已不能换证。感谢您对我们工作的支持、理解与监督！2018年4月23日,网友“UU008139”您好 您的留言已收悉,现在已不能换证 感谢您对我们工作的支持 理解与监督 2018年4月23日,完整,完整,已解决,"['根据', '通知', '现在', '并且', '现在']"
6271,网友“UU0081920”您好！您的留言已收悉。现将有关情况回复如下：一、关于电梯间与走廊墙壁刷漆的问题。经查证，浅水湾j19地块一期电梯间与走廊部分墙面均是按装饰设计图进行的施工，并经验收合格，且与购房合同注明的公共部分墙面内装饰相符。二、关于排水设施简陋的问题。浅水湾一期排水系统是按设计图进行施工，验收合格后才投入使用。2017年7月曾有局部区域存在积水现象，L6县设计方变更增加了排水沟，并组织人员全面进行了整改，目前问题已全面解决。三、关于粗暴安装消防管网的问题。浅水湾一期工程有部分栋号是超高层建筑，按国家规范要求进行的设计和施工，并经消防部门验收合格。四、关于物业涉嫌造假小区公共收益的问题。按《前期物业服务协议》电梯广告等公共部分收入纳入物业服务费，用于公共部分设施安装和维修，物业有定期对所有收入和支出公示，业主有疑问可以到物业查存单据，也可以向A3区住房和城乡建设局物业监管与维修资金管理办公室进行反映。感谢您对我们工作的支持、理解与监督！2018年4月28日,网友“UU0081920”您好 您的留言已收悉,也可以向A3区住房和城乡建设局物业监管与维修资金管理办公室进行反映 感谢您对我们工作的支持 理解与监督 2018年4月28日,完整,完整,已解决,"['按', '按', '才', '曾', '目前', '按', '要求', '按', '协议', '用于', '公示']"
6274,网友“UU0082006”您好！您的留言已收悉。现将有关情况回复如下：接到您的投诉后，4月25日下午14时许，A3区街道牵头，联合城管、公安、工商等相关职能部门到南方职业学校斜对面废品站进行现场调查和执法。经查，该废品站有相关三证合一营业执照，但现场存在违章搭建、乱堆放等问题、有消防安全隐患，并对周边居民生活造成了不良影响。执法人员对废品店老板进行了劝诫，并责令其关闭废品店并搬离现场。下一步，若该店未搬离，街道将联合相关职能部门对其进行依法强制取缔。感谢您对我们工作的支持、理解与监督！2018年4月26日,网友“UU0082006”您好 您的留言已收悉,街道将联合相关职能部门对其进行依法强制取缔 感谢您对我们工作的支持 理解与监督 2018年4月26日,完整,完整,已解决,"['调查', '经查', '但', '造成', '若', '依法']"
6285,网友“UU0081877”您好！您的留言已收悉。现将有关情况回复如下：根据《A市人民政府办公厅关于印发〈A市城乡居民基本医疗保险实施办法〉的通知》（[政府发文]23号）规定：城乡居民在户籍所在地参加城乡居民医保；未在户籍地参保，在我市取得居住证的常住人口，可在我市参加居民医保；新生儿在出生28天之内（含28天）取得我市户籍并参保缴费的，可自出生之日起享受医保待遇。您的孩子如果取得我市户籍或居住证，即可到所在社区办理居民医保。在出生28天之内（含）参保缴费的，可自出生之日起享受医保待遇。感谢您对我们工作的支持、理解与监督！2018年4月18日,网友“UU0081877”您好 您的留言已收悉,可自出生之日起享受医保待遇 感谢您对我们工作的支持 理解与监督 2018年4月18日,完整,完整,已解决,"['根据', '通知', '规定', '如果']"
6290,"网友“UU0081032”您好！您的留言已收悉。现将有关情况回复如下：经核实，A5区A5区亭街道于2016年5月收到新星小区业主递交的《新星小区成立业主大会申请人签名表》，街道社会事务办（物管办）按流程向新星社区移交《新星小区成立业主大会申请人签名表》。新星社区在收到签名表当日，制定了《关于新星小区成立业主大会申请人名单初审方案》。2016年6月30日要求原项目开发商提供了业委会成立的部分相关资料。2016年7月5日，在街道社会事务办负责人指导下组建了由街道社会事务办（物管办）、社区及原项目开发商工作人员组成的初审小组，召开了审核工作调度说明会。初审小组于2016年7月9日对新星小区成立业主大会申请人签名表初审工作推进进行了小结。因部分业主对初审小组中开发商介入存有疑议，街道于2016年7月20日左右对业主签名表再次审核。2016年7月29日，街道将情况汇总后将审核结果告知递交签名表的业主。在筹备的过程中，街道于2016年10月24日收到部分业主提交的《告知确认函》，确认函表示“鉴于新星小区业委会前期筹备工作进展推进情况,为防止小区部分业主出于不明目的,违规利用原热心业主签名资料，另行组建新星小区业委会筹备组,造成违背原800户签名业主的意愿，导致小区不稳定，小区业委会发起筹备的热心业主及800户广大业主强烈要求，如要启动新星筹备组工作，需筹备原发起人中至少5人联名签名同意提出。”在此之后，街道及社区再未收到任何反馈信息。一直以来，街道及社区对新星小区成立业委会予以支持，在成立业委会的过程中，按照相关政策及文件规定，街道及社区仅承担指导和协助工作。如需街道及社区的指导和协助，建议小区热心业主向A5区亭街道社会事务办（物管办）提交书面申请，共同推进业委会成立的相关工作。感谢您对我们工作的支持、理解与监督！2018年4月19日",网友“UU0081032”您好 您的留言已收悉,共同推进业委会成立的相关工作 感谢您对我们工作的支持 理解与监督 2018年4月19日,完整,完整,已解决,"['核实', '按', '流程', '方案', '要求', '原', '因', '结果', '表示', '鉴于', '为', '防止', '出于', '目的', '原', '造成', '导致', '如', '原', '至少', '按照', '政策', '规定', '仅']"
6292,网友“UU008143”您好！您的留言已收悉。现将有关情况回复如下：据查，荷花园街道杨家山社区邮政物流小区系“魅力A1区•城市双修”PPP项目，2017年11月对该小区地下管网改造时，A市邮区中心局负责人表示小区地下管网改造将纳入“三供一业”项目，所以暂停对该小区地下管网进行改造。2017年春节前地下管网突然坍塌堵塞导致化粪池满溢、污水外流现象，给小区居民生产生活带严重影响。期间，社区多次联系市政部门进行清疏，但未能解决该问题。今年，在A1区指挥部设计组的协调下，由市规划设计院（杭州尚天公司合作单位）出具施工图纸并派人来现场指导施工。4月18日，中铁五局开始对该小区地下管网进行修复，争取早日还小区居民一个整洁、干净的生活环境。感谢您对我们工作的支持、理解与监督！2018年4月17日,网友“UU008143”您好 您的留言已收悉,干净的生活环境 感谢您对我们工作的支持 理解与监督 2018年4月17日,完整,完整,已解决,"['据查', '表示', '所以', '导致', '但', '规划', '争取']"
6294,网友“UU008279”您好！您的留言已收悉。现将有关情况回复如下：您反映的金毛梅溪湖国际广场一期6#4401房屋质量问题，西地省楚江新区建设工程质量安全监督站已与您取得联系，并已经处理，后续将持续跟进督促，争取问题早日得到解决。感谢您对我们工作的支持、理解与监督！2018年4月25日,网友“UU008279”您好 您的留言已收悉,争取问题早日得到解决 感谢您对我们工作的支持 理解与监督 2018年4月25日,完整,完整,已解决,['争取']
6309,网友“UU0081727”您好！您的留言已收悉。现将有关情况回复如下：据查，A6区已多渠道收到有关勤达诚境界城的各类投诉，区委、区政府高度重视，多次组织相关职能部门和开发商召开专题会议协调有关问题。4月17日，区发改、住保、城管、市场等相关部门组成房地产市场专项执法小组赴项目现场展开调查。4月至5月，区住房保障局多次约谈项目负责人，督促做好问题整改，依法依规进行楼盘销售。关于贴瓷砖的问题。经核实，项目合同中并未明确约定在楼栋大厅贴瓷砖为交房标准。经区政府及相关部门多方协调，项目方承诺将征询业主意见后决定是否加贴瓷砖；5月12日，项目方与业主代表达成一致意见，在项目标准层层间厅贴瓷砖。关于虚假宣传的问题。2018年5月3日，区市场局赴项目进行核实，根据现场检查情况，项目方在售楼过程中存在涉嫌欺骗误导消费者的情节。区市场局已于5月14日立案调查，将进一步调查核实并依法依规处理。关于“认筹金”的问题。经调查，勤达诚境界城开发商委托A市尚同家有房地产经纪有限公司进行销售服务。房产销售过程，部分业主与尚同家有公司签订书面协议，约定向尚同家有公司缴纳会员费后可享受看房、选房等服务以及一定房款的优惠，协议中约定，客户成功购房后，已收取的会员费不再退回。下一步，A6区住房保障局及有关部门将密切关注勤达诚境界城项目问题的进展情况，做好沟通协调等工作，力争纠纷得到协商和平解决。感谢您对我们工作的支持、理解与监督！2018年5月24日,网友“UU0081727”您好 您的留言已收悉,力争纠纷得到协商和平解决 感谢您对我们工作的支持 理解与监督 2018年5月24日,完整,完整,已解决,"['据查', '调查', '依法', '依规', '核实', '为', '核实', '根据', '调查', '进一步', '依法', '依规', '调查', '协议', '协议', '协商']"
6321,网友“UU008626”您好！您的留言已收悉。现将有关情况回复如下：地铁车站内部公共区卫生间主要为站内候车、上下车乘客提供服务，国内地铁公共区卫生间，一般设置在付费区或非付费区。A市地铁已运营1、2号线及后续线路，均采用站台层设置公共区卫生间的模式。主要考虑到如站厅层设置卫生间，需设置于附属外挂区域，该方案会吸引非地铁乘客进入甚至驻留，地铁车站也会增加建设成本和难度，地铁空间是根据乘客流量和建设条件、建设成本等综合考虑因素决定的，相对比较狭小，人流聚集过大会导致通行率下降，在紧急状况下，会影响人员疏散，从而导致安全隐患。下一步，A市轨道集团有限公司将通过对地铁车站人流量、安检及疏散要求、建设成本等因素，以明确地铁车站的厕所设置方案进行综合分析，更好的服务地铁乘客，提升地铁品质。感谢您对我们工作的支持、理解与监督！2018年4月23日,网友“UU008626”您好 您的留言已收悉,提升地铁品质 感谢您对我们工作的支持 理解与监督 2018年4月23日,完整,完整,已解决,"['主要', '为', '主要', '如', '方案', '甚至', '根据', '条件', '相对', '导致', '从而', '导致', '通过', '要求', '方案']"
6322,网友“UU0081207”您好！您的留言已收悉。现将有关情况回复如下：据查，筑梦园小区位于特立西路北侧，现有开往市区的星204路、808路途经该小区。目前，从A7县开通到市区的公交线路还有103、104、115、123、204、808、809、202、206、208、210路等，您可在筑梦园小区乘坐204路、808路公交到开元路和万家丽路的公交站点再换乘到市区。增加开往市区的公交线路，需按照城市公交规划的要求，结合县域实际情况对公交线路进行规划，并经市交通运输局批准才能开通。随着城市的发展和A7县城乡公交一体化的推进，A7县公交线路将会日趋完善和优化。感谢您对我们工作的支持、理解与监督！2018年5月3日,网友“UU0081207”您好 您的留言已收悉,A7县公交线路将会日趋完善和优化 感谢您对我们工作的支持 理解与监督 2018年5月3日,完整,完整,已解决,"['据查', '目前', '还有', '按照', '规划', '要求', '规划', '批准', '才能', '随着']"
6324,网友“UU0081977”您好！您的留言已收悉。现将有关情况回复如下：2015年下半年开始，我市全面加强了对道路主次干道的机动车道路内停车管理，除医院、学校等公共服务场所周边保留部分限时停车位外，原则上一律取消非机动车道路内停车位，所以您反映的竹塘西路沿线是没有设置停车泊位的。根据《中华人民共和国道路交通安全法》第五十六条：“机动车应当在规定地点停放。禁止在人行道上停放机动车；但是，依照本法第三十三条规定施划的停车泊位除外。在道路上时停车的，不得妨碍其他车辆和行人通行。”之规定，该路段是没有施划停车位的，如临时停放，驾驶员必须在车上。所以民警依法对道路上违停的车辆进行抄牌是依法依规进行的。为保证道路的畅通和提高道路的通行能力，打击违停是交管部门的重要工作之一，且是一项长抓不懈的工作。综上所述，民警对竹塘西路的抄牌管控都是依法依规进行的，不存在通过抄牌配合小区开发商卖车位的问题。感谢您对我们工作的支持、理解与监督！2018年4月23日,网友“UU0081977”您好 您的留言已收悉,不存在通过抄牌配合小区开发商卖车位的问题 感谢您对我们工作的支持 理解与监督 2018年4月23日,完整,完整,已解决,"['除', '所以', '根据', '规定', '但是', '依照', '规定', '除外', '其他', '规定', '如', '必须', '所以', '依法', '依法', '依规', '为', '依法', '依规', '通过']"
